Tag;Datum;Zeit;Hallennummer;Inhalt Tooltip Halle;Spielnummer;Liga;Staffelkurzbezeichnung;Heimmannschaft;Gastmannschaft;Ergebnis;Halbzeitergebnis;SR A; Verein SR A; SR B; Verein SR B; SR C; Verein SR C; SR D; Verein SR D
Sat.;14.07.2018;00:00;;;20184011;Pokal M;Pokal M R1 IV;TV Bad Kötzting;HC Weiden;="0:0";="0:0";;;;;;;;
Sat.;14.07.2018;00:00;;;20184010;Pokal M;Pokal M R1 IV;TS Herzogenaurach;HSG SGS Erl/HC Niederl;="0:0";="0:0";;;;;;;;
Sat.;14.07.2018;00:00;;;20184012;Pokal M;Pokal M R1 IV;TV 1881 Altdorf;HC Sulzb.Rosenb.;="0:0";="0:0";;;;;;;;
Sat.;14.07.2018;00:00;;;20184014;Pokal M;Pokal M R1 IV;ATSV Kelheim e.V;SG Regensburg;="0:0";="0:0";;;;;;;;
Sat.;14.07.2018;15:00;240340;Regensburg, Sporthalle ESV 27;20182040;Pokal F;Pokal F R1 IV;ESV 27 Regensbg.;HC Erlangen;="0:0";="0:0";;;;;;;;
Sat.;14.07.2018;16:00;240040;Cham, Jos.-v.-Frauenhofer Gymnasium;20184013;Pokal M;Pokal M R1 IV;ASV 1863 Cham;SG Auerbach/Pegnitz;="0:0";="0:0";;;;;;;;
Sun.;15.07.2018;00:00;;;20182041;Pokal F;Pokal F R1 IV;Mintraching/Neutraubling;TS Herzogenaurach;="0:0";="0:0";;;;;;;;
Sun.;15.07.2018;00:00;;;20182042;Pokal F;Pokal F R1 IV;Mintraching/Neutraubling II;HC Sulzb.Rosenb.;="0:0";="0:0";;;;;;;;
Sun.;15.07.2018;12:00;240148;Hannberg, Seebachgrundhalle;20182045;Pokal F;Pokal F R1 IV;HSG SGS Erl/HC Niederl;SV Obertraubling;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20045002;BY WB;Bayernliga;HC Erlangen;TSV EBE Forst United;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20035001;BY MB;Bayernliga;TV 77 Lauf;TSV Niederraunau;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20040004;BY WA;Bayernliga;Mintraching/Neutraubling;HSG Würm-Mitte;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20010001;BY M;Bayernliga;SG Regensburg;TSV Haunstetten;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20045004;BY WB;Bayernliga;Mintraching/Neutraubling;TSV Allach 09;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20020005;BY F;Bayernliga;Mintraching/Neutraubling;HG Ingolstadt;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20011006;LLM;Landesliga Staffel N;TV Erl.-Bruck II;TV Helmbrechts;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;2004104;LL MC;Landesliga Staffel Nord;HC Erlangen;SC Eching;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;240263;Neunburg v. W., Hauptschulturnhalle;20031004;LL MA;Landesliga Staffel Nord;FC Neunburg v.W.;MTV Stadeln;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20036001;LL MB;Landesliga Staffel Nord;ESV 27 Regensbg.;TSV Rödelsee;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20031001;LL MA;Landesliga Staffel Nord;TV 77 Lauf;TV Marktsteft;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20052100;ÜBOL WA;ÜBOL Mitte;TSV 04 Feucht;TV Gunzenhausen;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20052200;ÜBOL WA;ÜBOL Mitte-Ost;HC Weiden;Nabburg/Schwarzenfeld;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20052201;ÜBOL WA;ÜBOL Mitte-Ost;DJK SV Berg;HC Hersbruck e.V;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20062100;ÜBOL WC;ÜBOL Nordost;SG Regensburg;SV Buckenhofen;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20057103;ÜBOL WB;ÜBOL Nordost;HSG Pyrbaum/Seligenporten;HG Eckental;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20057102;ÜBOL WB;ÜBOL Nordost;TV Hilpoltstein;HG Hemau/Beratzhausen;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20062102;ÜBOL WC;ÜBOL Nordost;Mintraching/Neutraubling;TV Münchberg;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;00:00;;;20062101;ÜBOL WC;ÜBOL Nordost;HC Weiden;Nabburg/Schwarzenfeld;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;14:30;240460;Wackersdorf, Schulsporthalle;20052202;ÜBOL WA;ÜBOL Mitte-Ost;TV Wackersdorf;SpVgg Diepersd.;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;15:00;240002;Amberg, Gregor-Mendel-Gymnasium;20051003;LL WA;Landesliga Staffel Nord;HG im TV 1861 Amberg e.V.;HSV Hochfranken;="0:0";="0:0";;;;;;;;
Sat.;15.09.2018;16:00;240301;Oberviechtach, Sporthalle Gymnasium;20061000;LL WC;Landesliga Staffel Nord;HV Oberviechtach;TSV Ismaning;="0:0";="0:0";;;;;;;;
Sun.;16.09.2018;10:30;240145;Herzogenaurach, Sporthalle Gymnasium;20062001;ÜBOL WC;ÜBOL Nord;TS Herzogenaurach;SG Kernfranken;="0:0";="0:0";;;;;;;;
Sun.;16.09.2018;12:30;240145;Herzogenaurach, Sporthalle Gymnasium;20021001;LLF;Landesliga Staffel N;TS Herzogenaurach II;TSV Winkelhaid;="0:0";="0:0";;;;;;;;
Sun.;16.09.2018;14:30;240145;Herzogenaurach, Sporthalle Gymnasium;20020001;BY F;Bayernliga;TS Herzogenaurach;TSV Haunstetten II;="0:0";="0:0";;;;;;;;
Sun.;16.09.2018;16:30;240300;Obertraubling, Leo Graß Sportzentrum;20021004;LLF;Landesliga Staffel N;SV Obertraubling;MHV Schweinf.09;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20035009;BY MB;Bayernliga;HC Erlangen;TSV Rothenburg;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20040008;BY WA;Bayernliga;Mintraching/Neutraubling;TSV Haunstetten;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20045005;BY WB;Bayernliga;ESV 27 Regensbg.;TSV Haunstetten;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20020008;BY F;Bayernliga;HC Erlangen;TS Herzogenaurach;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;20045008;BY WB;Bayernliga;Mintraching/Neutraubling;TSV Schleißheim;="0:0";="0:0";;;;;;;;
Sat.;22.09.2018;00:00;;;24012002;BZOL M;Bezirksoberliga;SG Regensburg II;ESV 27 Regensbg.;="0:0";="0:0";;;;;;;;
